Country name,Year,GDP,biofuel_share_energy,coal_consumption,electricity_demand,energy_per_capita,fossil_fuel_consumption,greenhouse_gas_emissions,nuclear_consumption,oil_consumption,renewables_consumption,PopDensity,Death rate,Child mortality rate,Fertility rate: children per woman,Age Median,Population,Pop<15,Pop100+,Life ExpectancyM,Life ExpectancyF,Birth rate
United States,2018,1.81406E+13,1.512,3689.458,4246.01,80583.344,22208.822,1731.3,2156.894,10299.73,2399.24,36.309,8.387,0.65333,1.7179,37,332140030,62811076,75558,76.5,81.5,11.468
Eswatini,1994,4084366080,,,,4673.879,,,,,,54.9293,8.824,7.68646,4.6232,15.2,953745,448373,1,55.3,61.2,36.522
Upper-middle-income countries,1992,,0.267,10390.237,,13569.829,24925.219,,436.095,8599.645,2208.387,37.2539,7.131,5.00387,2.159,24.2,2002796300,601472300,27334,65.4,71.3,19.654
Austria,1974,1.41213E+11,,48.723,,37246.43,215.802,,0,125.228,67.16,92.064,12.398,2.67094,1.9033,32.7,7597028,1792649,96,67.4,74.6,12.804
France,1989,1.59447E+12,,226.901,,45894.918,1571.723,,862.409,1061.674,143.783,101.8716,9.425,0.9206101,1.792,33.7,56169944,11347682,3639,72.4,80.7,13.464
Vietnam,1994,1.46504E+11,,26.761,,1509.568,82.114,,0,52.941,27.331,231.3306,6.173,4.16071,2.9197,20.5,72501090,26467350,797,66,75.6,23.913
Malawi,2016,21039450112,,,2.18,581.612,,0.18,,,,184.0852,7.541,4.90363,4.3085,15.9,17405624,7948036,1151,58.9,65.7,34.824
Uzbekistan,1989,1.42094E+11,,20.244,,24698.16,480.235,,0,132.457,16.27,47.2565,7.708,7.14817,4.1713,18.7,20102902,8087301,50,62.2,68.3,33.765
United States,2009,1.48943E+13,1.028,5482.376,3973.87,81376.18,21395.902,1955.17,2253.506,9737.244,1456.122,33.726,7.914,0.76176,1.9997,35.9,308512030,61723370,45717,76.1,81,13.476
Malaysia,1958,17939273728,,,,,,,,,,22.4796,12.97,10.68556,6.4528,16.7,7385695,3305158,0,53.4,55.9,44.079
Uganda,1991,16538917888,,,,332.455,,,,,,90.9474,18.005,17.84187,6.9827,14.6,18171944,8807403,3,43.9,48.8,51.174
World,1950,8.40848E+12,,,,,,,,,,19.1661,19.518,22.40098,4.8596,22.2,,867688260,14469,44.6,48.4,36.837
New Zealand,1999,97884487680,0,13.571,,57371.336,141.677,,0,72.872,78.256,14.4713,7.342,0.69673,1.9672,33,3833496,877448,300,75.4,80.4,14.824
Bangladesh,1981,79474311168,,1.485,,427.599,34.992,,0,19.893,1.848,661.864,15.351,20.07215,6.2392,16.4,86154830,38857040,1,53.2,51.1,44.734
Guadeloupe,1994,,,,,17111.305,,,,,,251.7715,6.189,1.51975,2.1136,27.4,409893,105327,38,71.9,79,18.339
